 ±º‰ (s),P1 (MPa),M1 (L/min),T (°„C)
32.0,0.422260,0.017352,24.53
32.5,0.422475,0.017370,24.53
33.0,0.422690,0.017388,24.53
33.5,0.422905,0.017406,24.53
34.0,0.423120,0.017424,24.53
34.5,0.423335,0.017442,24.53
35.0,0.423550,0.017460,24.54
35.5,0.423765,0.017478,24.54
36.0,0.423980,0.017496,24.54
36.5,0.424195,0.017514,24.54
37.0,0.424410,0.017532,24.54
37.5,0.424625,0.017550,24.54
38.0,0.424840,0.017568,24.54
38.5,0.425055,0.017586,24.54
39.0,0.425270,0.017604,24.54
39.5,0.425485,0.017622,24.54
40.0,0.425700,0.017640,24.54
40.5,0.425915,0.017658,24.54
41.0,0.426130,0.017676,24.54
41.5,0.426345,0.017694,24.54
42.0,0.426560,0.017712,24.54
42.5,0.426775,0.017730,24.54
43.0,0.426990,0.017748,24.54
43.5,0.427205,0.017766,24.54
44.0,0.427420,0.017784,24.54
44.5,0.427635,0.017802,24.54
45.0,0.427850,0.017820,24.55
45.5,0.428065,0.017838,24.55
46.0,0.428280,0.017856,24.55
46.5,0.428495,0.017874,24.55
47.0,0.428710,0.017892,24.55
47.5,0.428925,0.017910,24.55
48.0,0.429140,0.017928,24.55
48.5,0.429355,0.017946,24.55
49.0,0.429570,0.017964,24.55
49.5,0.429785,0.017982,24.55
50.0,0.430000,0.018000,24.55
50.5,0.430215,0.018018,24.55
51.0,0.430430,0.018036,24.55
51.5,0.430645,0.018054,24.55
52.0,0.430860,0.018072,24.55
52.5,0.431075,0.018090,24.55
53.0,0.431290,0.018108,24.55
53.5,0.431505,0.018126,24.55
54.0,0.431720,0.018144,24.55
54.5,0.431935,0.018162,24.55
55.0,0.432150,0.018180,24.55
55.5,0.432365,0.018198,24.56
56.0,0.432580,0.018216,24.56
56.5,0.432795,0.018234,24.56
57.0,0.433010,0.018252,24.56
57.5,0.433225,0.018270,24.56
58.0,0.433440,0.018288,24.56
58.5,0.433655,0.018306,24.56
59.0,0.433870,0.018324,24.56
59.5,0.434085,0.018342,24.56
60.0,0.434300,0.018360,24.56
60.5,0.434515,0.018378,24.56
61.0,0.434730,0.018396,24.56
61.5,0.434945,0.018414,24.56
62.0,0.435160,0.018432,24.56
62.5,0.435375,0.018450,24.56
63.0,0.435590,0.018468,24.56
63.5,0.435805,0.018486,24.56
64.0,0.436020,0.018504,24.56
64.5,0.436235,0.018522,24.56
65.0,0.436450,0.018540,24.57
65.5,0.436665,0.018558,24.57
66.0,0.436880,0.018576,24.57
66.5,0.437095,0.018594,24.57
67.0,0.437310,0.018612,24.57
67.5,0.437525,0.018630,24.57
68.0,0.437740,0.018648,24.57
68.5,0.437955,0.018666,24.57
69.0,0.438170,0.018684,24.57
69.5,0.438385,0.018702,24.57
70.0,0.438600,0.018720,24.57
70.5,0.438815,0.018738,24.57
71.0,0.439030,0.018756,24.57
71.5,0.439245,0.018774,24.57
72.0,0.439460,0.018792,24.57
72.5,0.439675,0.018810,24.57
73.0,0.439890,0.018828,24.57
73.5,0.440105,0.018846,24.57
74.0,0.440320,0.018864,24.57
74.5,0.440535,0.018882,24.57
75.0,0.440750,0.018900,24.57
75.5,0.440965,0.018918,24.58
76.0,0.441180,0.018936,24.58
76.5,0.441395,0.018954,24.58
77.0,0.441610,0.018972,24.58
77.5,0.441825,0.018990,24.58
78.0,0.442040,0.019008,24.58
78.5,0.442255,0.019026,24.58
79.0,0.442470,0.019044,24.58
79.5,0.442685,0.019062,24.58
80.0,0.442900,0.019080,24.58
80.5,0.443115,0.019098,24.58
81.0,0.443330,0.019116,24.58
81.5,0.443545,0.019134,24.58
82.0,0.443760,0.019152,24.58
82.5,0.443975,0.019170,24.58
83.0,0.444190,0.019188,24.58
83.5,0.444405,0.019206,24.58
84.0,0.444620,0.019224,24.58
84.5,0.444835,0.019242,24.58
85.0,0.445050,0.019260,24.59
85.5,0.445265,0.019278,24.59
86.0,0.445480,0.019296,24.59
86.5,0.445695,0.019314,24.59
87.0,0.445910,0.019332,24.59
87.5,0.446125,0.019350,24.59
88.0,0.446340,0.019368,24.59
88.5,0.446555,0.019386,24.59
89.0,0.446770,0.019404,24.59
89.5,0.446985,0.019422,24.59
90.0,0.447200,0.019440,24.59
90.5,0.447415,0.019458,24.59
91.0,0.447630,0.019476,24.59
91.5,0.447845,0.019494,24.59
92.0,0.448060,0.019512,24.59
92.5,0.448275,0.019530,24.59
93.0,0.448490,0.019548,24.59
93.5,0.448705,0.019566,24.59
94.0,0.448920,0.019584,24.59
94.5,0.449135,0.019602,24.59
95.0,0.449350,0.019620,24.59
95.5,0.449565,0.019638,24.60
96.0,0.449780,0.019656,24.60
96.5,0.449995,0.019674,24.60
97.0,0.450210,0.019692,24.60
97.5,0.450425,0.019710,24.60
98.0,0.450640,0.019728,24.60
98.5,0.450855,0.019746,24.60
99.0,0.451070,0.019764,24.60
99.5,0.451285,0.019782,24.60
