 ±º‰ (s),P1 (MPa),M1 (L/min),T (°„C)
88.0,0.439074,0.037660,24.59
88.5,0.439285,0.037695,24.59
89.0,0.439497,0.037730,24.59
89.5,0.439708,0.037765,24.59
90.0,0.439920,0.037800,24.59
90.5,0.440131,0.037835,24.59
91.0,0.440343,0.037870,24.59
91.5,0.440554,0.037905,24.59
92.0,0.440766,0.037940,24.59
92.5,0.440977,0.037975,24.59
93.0,0.441189,0.038010,24.59
93.5,0.441400,0.038045,24.59
94.0,0.441612,0.038080,24.59
94.5,0.441823,0.038115,24.59
95.0,0.442035,0.038150,24.59
95.5,0.442246,0.038185,24.60
96.0,0.442458,0.038220,24.60
96.5,0.442669,0.038255,24.60
97.0,0.442881,0.038290,24.60
97.5,0.443092,0.038325,24.60
98.0,0.443304,0.038360,24.60
98.5,0.443516,0.038395,24.60
99.0,0.443727,0.038430,24.60
99.5,0.443938,0.038465,24.60
