 ±º‰ (s),P1 (MPa),M1 (L/min),T (°„C)
54.0,0.422684,0.044352,24.55
54.5,0.422894,0.044396,24.55
55.0,0.423105,0.044440,24.55
55.5,0.423316,0.044484,24.56
56.0,0.423526,0.044528,24.56
56.5,0.423736,0.044572,24.56
57.0,0.423947,0.044616,24.56
57.5,0.424157,0.044660,24.56
58.0,0.424368,0.044704,24.56
58.5,0.424578,0.044748,24.56
59.0,0.424789,0.044792,24.56
59.5,0.425000,0.044836,24.56
60.0,0.425210,0.044880,24.56
60.5,0.425420,0.044924,24.56
61.0,0.425631,0.044968,24.56
61.5,0.425841,0.045012,24.56
62.0,0.426052,0.045056,24.56
62.5,0.426262,0.045100,24.56
63.0,0.426473,0.045144,24.56
63.5,0.426683,0.045188,24.56
64.0,0.426894,0.045232,24.56
64.5,0.427104,0.045276,24.56
65.0,0.427315,0.045320,24.57
65.5,0.427525,0.045364,24.57
66.0,0.427736,0.045408,24.57
66.5,0.427946,0.045452,24.57
67.0,0.428157,0.045496,24.57
67.5,0.428368,0.045540,24.57
68.0,0.428578,0.045584,24.57
68.5,0.428788,0.045628,24.57
69.0,0.428999,0.045672,24.57
69.5,0.429209,0.045716,24.57
70.0,0.429420,0.045760,24.57
70.5,0.429630,0.045804,24.57
71.0,0.429841,0.045848,24.57
71.5,0.430051,0.045892,24.57
72.0,0.430262,0.045936,24.57
72.5,0.430472,0.045980,24.57
73.0,0.430683,0.046024,24.57
73.5,0.430893,0.046068,24.57
74.0,0.431104,0.046112,24.57
74.5,0.431314,0.046156,24.57
75.0,0.431525,0.046200,24.57
75.5,0.431735,0.046244,24.58
76.0,0.431946,0.046288,24.58
76.5,0.432156,0.046332,24.58
77.0,0.432367,0.046376,24.58
77.5,0.432577,0.046420,24.58
78.0,0.432788,0.046464,24.58
78.5,0.432998,0.046508,24.58
79.0,0.433209,0.046552,24.58
79.5,0.433420,0.046596,24.58
80.0,0.433630,0.046640,24.58
80.5,0.433840,0.046684,24.58
81.0,0.434051,0.046728,24.58
81.5,0.434261,0.046772,24.58
82.0,0.434472,0.046816,24.58
82.5,0.434682,0.046860,24.58
83.0,0.434893,0.046904,24.58
83.5,0.435103,0.046948,24.58
84.0,0.435314,0.046992,24.58
84.5,0.435524,0.047036,24.58
85.0,0.435735,0.047080,24.59
85.5,0.435945,0.047124,24.59
86.0,0.436156,0.047168,24.59
86.5,0.436366,0.047212,24.59
87.0,0.436577,0.047256,24.59
87.5,0.436787,0.047300,24.59
88.0,0.436998,0.047344,24.59
88.5,0.437208,0.047388,24.59
89.0,0.437419,0.047432,24.59
89.5,0.437629,0.047476,24.59
90.0,0.437840,0.047520,24.59
90.5,0.438050,0.047564,24.59
91.0,0.438261,0.047608,24.59
91.5,0.438471,0.047652,24.59
92.0,0.438682,0.047696,24.59
92.5,0.438892,0.047740,24.59
93.0,0.439103,0.047784,24.59
93.5,0.439313,0.047828,24.59
94.0,0.439524,0.047872,24.59
94.5,0.439734,0.047916,24.59
95.0,0.439945,0.047960,24.59
95.5,0.440155,0.048004,24.60
96.0,0.440366,0.048048,24.60
96.5,0.440576,0.048092,24.60
97.0,0.440787,0.048136,24.60
97.5,0.440997,0.048180,24.60
98.0,0.441208,0.048224,24.60
98.5,0.441418,0.048268,24.60
99.0,0.441629,0.048312,24.60
99.5,0.441839,0.048356,24.60
