导出时间,实时压力P1,瞬时流量M1,瞬时流量M2,温度T_R,压力P2_R,时间
2026/7/11 16:07,0.267354,4,3,30.084095,0.17419,9.8
2026/7/11 16:07,0.26763,4,2,30.120266,0.175275,10
2026/7/11 16:07,0.267842,3,2,30.084095,0.175275,10.2
2026/7/11 16:07,0.268017,3,3,30.084095,0.175347,10.4
2026/7/11 16:07,0.268276,4,3,30.084095,0.177734,10.6
2026/7/11 16:07,0.268566,4,2,30.084095,0.177734,10.8
2026/7/11 16:07,0.268805,3,2,30.084095,0.177734,11
2026/7/11 16:07,0.269064,3,3,30.084095,0.177734,11.2
2026/7/11 16:07,0.269205,3,2,30.084095,0.179615,11.4
2026/7/11 16:07,0.269454,3,1,30.084095,0.179688,11.6
2026/7/11 16:07,0.269569,3,2,30.084095,0.180049,11.8
2026/7/11 16:07,0.269821,2,1,30.056969,0.180194,12
2026/7/11 16:07,0.269953,2,2,30.084095,0.180194,12.2
2026/7/11 16:07,0.270171,3,2,30.102179,0.180339,12.4
2026/7/11 16:07,0.270528,4,3,30.084095,0.181424,12.6
2026/7/11 16:07,0.2707,3,1,30.084095,0.182653,12.8
2026/7/11 16:07,0.270801,2,1,30.084095,0.182653,13
2026/7/11 16:07,0.271161,2,2,30.237814,0.182653,13.2
2026/7/11 16:07,0.271296,2,2,30.160955,0.183883,13.4
2026/7/11 16:07,0.271555,2,2,30.237814,0.185113,13.6
2026/7/11 16:07,0.271649,2,1,30.201647,0.185113,13.8
2026/7/11 16:07,0.272107,3,2,30.120266,0.185113,14
2026/7/11 16:07,0.272329,3,3,30.233294,0.185258,14.2
2026/7/11 16:07,0.272427,3,1,30.21069,0.185619,14.4
2026/7/11 16:07,0.272579,2,1,30.237814,0.187572,14.6
2026/7/11 16:07,0.272838,2,1,30.233294,0.187572,14.8
2026/7/11 16:07,0.273097,3,2,30.224251,0.187572,15
2026/7/11 16:07,0.273323,3,2,30.237814,0.187572,15.2
2026/7/11 16:07,0.27344,3,1,30.237814,0.187572,15.4
2026/7/11 16:07,0.273622,2,1,30.165476,0.189525,15.6
2026/7/11 16:07,0.273875,2,1,30.237814,0.190032,15.8
2026/7/11 16:07,0.27405,2,1,30.233294,0.190104,16
2026/7/11 16:07,0.274292,2,1,30.179039,0.190104,16.2
2026/7/11 16:07,0.274481,2,2,30.237814,0.190104,16.4
2026/7/11 16:07,0.274565,2,1,30.228773,0.192564,16.6
2026/7/11 16:07,0.274868,2,2,30.088615,0.192564,16.8
2026/7/11 16:07,0.275127,2,1,30.237814,0.192564,17
2026/7/11 16:07,0.275221,2,1,30.228773,0.192564,17.2
2026/7/11 16:07,0.275497,2,1,30.102179,0.192564,17.4
2026/7/11 16:07,0.275629,2,1,30.237814,0.192564,17.6
2026/7/11 16:07,0.275911,2,2,30.228773,0.19307,17.8
2026/7/11 16:07,0.275982,2,1,30.102179,0.194951,18
2026/7/11 16:07,0.276305,2,1,30.237814,0.195023,18.2
2026/7/11 16:07,0.276548,2,1,30.237814,0.195023,18.4
2026/7/11 16:07,0.276703,2,2,30.102179,0.195023,18.6
2026/7/11 16:07,0.276874,2,1,30.237814,0.196253,18.8
2026/7/11 16:07,0.277103,2,1,30.228773,0.196181,19
2026/7/11 16:07,0.277295,2,1,30.242336,0.197266,19.2
2026/7/11 16:07,0.27745,2,1,30.310154,0.197483,19.4
2026/7/11 16:07,0.277538,2,1,30.355368,0.197483,19.6
2026/7/11 16:07,0.27775,2,1,30.242336,0.197483,19.8
2026/7/11 16:07,0.278012,2,1,30.305634,0.199653,20
2026/7/11 16:07,0.278214,2,1,30.355368,0.199942,20.2
2026/7/11 16:07,0.27843,2,2,30.242336,0.199797,20.4
2026/7/11 16:07,0.278571,2,1,30.387014,0.199942,20.6
2026/7/11 16:07,0.278733,2,1,30.314674,0.199942,20.8
2026/7/11 16:07,0.278935,2,1,30.242336,0.199942,21
2026/7/11 16:07,0.279187,2,1,30.310154,0.201172,21.2
2026/7/11 16:07,0.279315,2,1,30.314674,0.199942,21.4
2026/7/11 16:07,0.27948,2,1,30.246857,0.2011,21.6
2026/7/11 16:07,0.279665,2,1,30.310154,0.202402,21.8
2026/7/11 16:07,0.27981,2,0,30.314674,0.202402,22
2026/7/11 16:07,0.279931,2,1,30.246857,0.202402,22.2
2026/7/11 16:07,0.280241,2,1,30.387014,0.202402,22.4
2026/7/11 16:07,0.280376,2,1,30.314674,0.202402,22.6
2026/7/11 16:07,0.280611,2,1,30.246857,0.202691,22.8
2026/7/11 16:07,0.280679,2,1,30.382494,0.204716,23
2026/7/11 16:07,0.280968,2,1,30.237814,0.204861,23.2
2026/7/11 16:07,0.281184,2,1,30.246857,0.204861,23.4
2026/7/11 16:07,0.281318,2,1,30.382494,0.204861,23.6
2026/7/11 16:07,0.281476,2,1,30.237814,0.204861,23.8
2026/7/11 16:07,0.281625,2,1,30.255899,0.204861,24
2026/7/11 16:07,0.281867,2,1,30.382494,0.207248,24.2
2026/7/11 16:07,0.282012,2,1,30.237814,0.20638,24.4
2026/7/11 16:07,0.28219,2,1,30.246857,0.20544,24.6
2026/7/11 16:07,0.282268,2,1,30.387014,0.207321,24.8
2026/7/11 16:07,0.28249,1,1,30.237814,0.207321,25
2026/7/11 16:07,0.282685,2,1,30.242336,0.207321,25.2
2026/7/11 16:07,0.28288,2,1,30.373451,0.207321,25.4
2026/7/11 16:07,0.282971,2,1,30.242336,0.207321,25.6
2026/7/11 16:07,0.283133,2,1,30.273987,0.207682,25.8
2026/7/11 16:07,0.283274,2,0,30.310154,0.209852,26
2026/7/11 16:07,0.28349,2,1,30.242336,0.209852,26.2
2026/7/11 16:07,0.283594,2,1,30.255899,0.209852,26.4
2026/7/11 16:07,0.283833,2,1,30.355368,0.209852,26.6
2026/7/11 16:07,0.284005,2,1,30.237814,0.209852,26.8
2026/7/11 16:07,0.284112,2,1,30.246857,0.211082,27
2026/7/11 16:07,0.284257,2,1,30.373451,0.211733,27.2
2026/7/11 16:07,0.284432,2,1,30.237814,0.211806,27.4
2026/7/11 16:07,0.284574,1,1,30.255899,0.212312,27.6
2026/7/11 16:07,0.284762,1,1,30.387014,0.212312,27.8
2026/7/11 16:07,0.284934,2,1,30.237814,0.212312,28
2026/7/11 16:07,0.285082,2,1,30.255899,0.212312,28.2
2026/7/11 16:07,0.2852,1,0,30.382494,0.212312,28.4
2026/7/11 16:07,0.285308,1,0,30.237814,0.212384,28.6
2026/7/11 16:07,0.285516,1,1,30.255899,0.212384,28.8
2026/7/11 16:07,0.285607,2,0,30.387014,0.213831,29
2026/7/11 16:07,0.285809,2,1,30.237814,0.214771,29.2
2026/7/11 16:07,0.285957,2,1,30.255899,0.214771,29.4
2026/7/11 16:07,0.286159,1,1,30.373451,0.214771,29.6
2026/7/11 16:07,0.28627,2,1,30.237814,0.214771,29.8
2026/7/11 16:07,0.286506,2,1,30.246857,0.214771,30
2026/7/11 16:07,0.286641,2,0,30.373451,0.215133,30.2
2026/7/11 16:07,0.286789,1,0,30.237814,0.216652,30.4
2026/7/11 16:07,0.286927,2,1,30.310154,0.216652,30.6
2026/7/11 16:07,0.287095,2,1,30.314674,0.217231,30.8
2026/7/11 16:07,0.287213,2,0,30.237814,0.216942,31
2026/7/11 16:07,0.287365,1,0,30.255899,0.217231,31.2
2026/7/11 16:07,0.287449,1,0,30.373451,0.217231,31.4
2026/7/11 16:07,0.287614,1,1,30.242336,0.217231,31.6
2026/7/11 16:07,0.287849,2,1,30.273987,0.217231,31.8
2026/7/11 16:07,0.287967,1,1,30.355368,0.217231,32
2026/7/11 16:07,0.288085,1,0,30.237814,0.217303,32.2
2026/7/11 16:07,0.288179,1,0,30.310154,0.219618,32.4
2026/7/11 16:07,0.288263,1,0,30.237814,0.21969,32.6
2026/7/11 16:07,0.288519,1,1,30.246857,0.219546,32.8
2026/7/11 16:07,0.288691,2,1,30.387014,0.21969,33
2026/7/11 16:07,0.288735,1,0,30.355368,0.21969,33.2
2026/7/11 16:07,0.288991,1,0,30.242336,0.21969,33.4
2026/7/11 16:07,0.289058,1,0,30.382494,0.21969,33.6
2026/7/11 16:07,0.28929,1,1,30.314674,0.21969,33.8
2026/7/11 16:07,0.289368,1,1,30.237814,0.220197,34
2026/7/11 16:07,0.289492,1,0,30.382494,0.220703,34.2
2026/7/11 16:07,0.289694,1,0,30.314674,0.22215,34.4
2026/7/11 16:07,0.289745,1,0,30.255899,0.22215,34.6
2026/7/11 16:07,0.289893,1,0,30.382494,0.22215,34.8
2026/7/11 16:07,0.290058,1,1,30.242336,0.22215,35
2026/7/11 16:07,0.290243,1,0,30.273987,0.22215,35.2
2026/7/11 16:07,0.290368,1,1,30.373451,0.22215,35.4
2026/7/11 16:07,0.290529,1,1,30.242336,0.22215,35.6
2026/7/11 16:07,0.290627,1,0,30.273987,0.224031,35.8
2026/7/11 16:07,0.290748,1,0,30.355368,0.22338,36
2026/7/11 16:07,0.290873,1,0,30.242336,0.222729,36.2
2026/7/11 16:07,0.291075,1,0,30.382494,0.224609,36.4
2026/7/11 16:07,0.291155,1,1,30.237814,0.224609,36.6
2026/7/11 16:07,0.291344,1,0,30.255899,0.224609,36.8
2026/7/11 16:07,0.291415,1,0,30.387014,0.224609,37
2026/7/11 16:07,0.291644,1,1,30.355368,0.224609,37.2
2026/7/11 16:07,0.291711,1,0,30.246857,0.224609,37.4
2026/7/11 16:07,0.291842,1,0,30.373451,0.224754,37.6
2026/7/11 16:07,0.292058,1,1,30.242336,0.224609,37.8
2026/7/11 16:07,0.292175,1,0,30.242336,0.22555,38
2026/7/11 16:07,0.292239,1,0,30.387014,0.226128,38.2
2026/7/11 16:07,0.292401,1,0,30.314674,0.227069,38.4
2026/7/11 16:07,0.292623,1,1,30.255899,0.226924,38.6
2026/7/11 16:07,0.292704,1,0,30.382494,0.227069,38.8
2026/7/11 16:07,0.292805,1,0,30.242336,0.227069,39
2026/7/11 16:07,0.292906,1,0,30.255899,0.227069,39.2
2026/7/11 16:07,0.293,1,0,30.373451,0.227069,39.4
2026/7/11 16:07,0.293209,1,0,30.237814,0.227069,39.6
2026/7/11 16:07,0.293347,1,0,30.255899,0.227069,39.8
2026/7/11 16:07,0.293478,1,1,30.382494,0.229311,40
2026/7/11 16:07,0.29367,1,0,30.237814,0.227286,40.2
2026/7/11 16:07,0.293711,1,0,30.255899,0.229528,40.4
2026/7/11 16:07,0.293862,1,0,30.382494,0.229601,40.6
2026/7/11 16:07,0.293926,1,0,30.237814,0.229601,40.8
2026/7/11 16:07,0.294131,1,0,30.273987,0.229601,41
2026/7/11 16:07,0.294246,1,0,30.355368,0.229601,41.2
2026/7/11 16:07,0.294374,1,0,30.242336,0.229601,41.4
2026/7/11 16:07,0.294471,1,0,30.255899,0.229601,41.6
2026/7/11 16:07,0.294566,1,0,30.373451,0.229673,41.8
2026/7/11 16:07,0.294764,1,0,30.237814,0.229962,42
2026/7/11 16:07,0.294926,1,1,30.273987,0.229601,42.2
2026/7/11 16:07,0.295081,1,1,30.382494,0.23206,42.4
2026/7/11 16:07,0.295175,1,0,30.237814,0.231554,42.6
2026/7/11 16:07,0.295387,1,1,30.310154,0.23206,42.8
2026/7/11 16:07,0.295481,2,0,30.355368,0.23206,43
2026/7/11 16:07,0.295599,1,0,30.242336,0.23206,43.2
2026/7/11 16:07,0.29566,1,0,30.310154,0.23206,43.4
2026/7/11 16:07,0.295818,1,0,30.373451,0.23206,43.6
2026/7/11 16:07,0.295875,1,0,30.237814,0.23206,43.8
2026/7/11 16:07,0.296023,1,0,30.310154,0.23206,44
2026/7/11 16:07,0.296091,1,0,30.314674,0.232133,44.2
2026/7/11 16:07,0.296333,1,1,30.242336,0.23423,44.4
2026/7/11 16:07,0.296464,1,0,30.296591,0.234447,44.6
2026/7/11 16:07,0.296565,1,0,30.373451,0.23452,44.8
2026/7/11 16:07,0.296629,1,0,30.246857,0.23452,45
2026/7/11 16:07,0.296791,1,0,30.387014,0.23452,45.2
2026/7/11 16:07,0.296868,1,0,30.314674,0.23452,45.4
2026/7/11 16:07,0.297091,1,0,30.246857,0.23452,45.6
2026/7/11 16:07,0.297249,1,0,30.387014,0.23452,45.8
2026/7/11 16:07,0.297259,1,0,30.314674,0.23452,46
2026/7/11 16:07,0.29741,1,0,30.246857,0.23452,46.2
2026/7/11 16:07,0.297528,1,0,30.310154,0.234881,46.4
2026/7/11 16:07,0.297724,1,0,30.237814,0.234664,46.6
2026/7/11 16:07,0.297804,1,1,30.246857,0.236979,46.8
2026/7/11 16:07,0.297959,1,0,30.382494,0.236907,47
2026/7/11 16:08,0.298067,1,0,30.314674,0.236834,47.2
2026/7/11 16:08,0.298171,1,0,30.255899,0.236979,47.4
2026/7/11 16:08,0.298262,1,0,30.382494,0.236979,47.6
2026/7/11 16:08,0.298498,1,0,30.237814,0.236979,47.8
2026/7/11 16:08,0.298552,1,0,30.255899,0.236979,48
2026/7/11 16:08,0.298663,1,0,30.373451,0.236979,48.2
2026/7/11 16:08,0.298757,1,0,30.242336,0.237052,48.4
2026/7/11 16:08,0.298895,1,0,30.273987,0.238209,48.6
2026/7/11 16:08,0.29907,1,0,30.373451,0.237052,48.8
2026/7/11 16:08,0.299124,1,0,30.237814,0.237124,49
2026/7/11 16:08,0.299333,1,0,30.251377,0.239439,49.2
2026/7/11 16:08,0.299343,1,0,30.382494,0.239294,49.4
2026/7/11 16:08,0.299605,1,1,30.242336,0.239439,49.6
2026/7/11 16:08,0.2997,1,1,30.255899,0.239439,49.8
2026/7/11 16:08,0.299946,1,0,30.355368,0.239439,50
2026/7/11 16:08,0.30002,1,1,30.242336,0.239439,50.2
2026/7/11 16:08,0.300121,2,0,30.251377,0.239439,50.4
2026/7/11 16:08,0.300235,1,0,30.233294,0.239439,50.6
2026/7/11 16:08,0.300279,1,0,30.169996,0.240885,50.8
2026/7/11 16:08,0.30037,1,0,30.237814,0.239439,51
2026/7/11 16:08,0.300514,1,0,30.237814,0.240668,51.2
2026/7/11 16:08,0.300673,1,0,30.169996,0.240958,51.4
2026/7/11 16:08,0.300753,1,0,30.237814,0.241898,51.6
2026/7/11 16:08,0.300878,1,0,30.233294,0.241898,51.8
2026/7/11 16:08,0.301053,1,0,30.179039,0.241898,52
2026/7/11 16:08,0.301221,1,1,30.160955,0.241898,52.2
2026/7/11 16:08,0.301346,1,1,30.233294,0.241898,52.4
2026/7/11 16:08,0.301494,1,0,30.120266,0.241898,52.6
2026/7/11 16:08,0.301531,1,0,30.237814,0.241898,52.8
2026/7/11 16:08,0.301524,1,0,30.237814,0.241898,53
2026/7/11 16:08,0.30175,0,0,30.169996,0.24197,53.2
2026/7/11 16:08,0.301942,1,1,30.237814,0.242043,53.4
2026/7/11 16:08,0.302036,2,1,30.21973,0.244068,53.6
2026/7/11 16:08,0.302127,2,0,30.120266,0.244358,53.8
2026/7/11 16:08,0.302339,1,0,30.237814,0.244358,54
2026/7/11 16:08,0.302457,1,0,30.21973,0.244358,54.2
2026/7/11 16:08,0.302534,1,0,30.120266,0.244358,54.4
2026/7/11 16:08,0.302676,1,0,30.237814,0.244358,54.6
2026/7/11 16:08,0.302821,1,0,30.233294,0.244358,54.8
2026/7/11 16:08,0.302942,1,0,30.237814,0.244358,55
2026/7/11 16:08,0.303006,1,0,30.237814,0.244358,55.2
2026/7/11 16:08,0.303039,1,0,30.201647,0.244358,55.4
2026/7/11 16:08,0.303117,0,0,30.120266,0.244358,55.6
2026/7/11 16:08,0.303255,1,0,30.237814,0.24443,55.8
2026/7/11 16:08,0.303464,1,1,30.21069,0.244936,56
2026/7/11 16:08,0.303524,1,0,30.237814,0.246817,56.2
2026/7/11 16:08,0.303696,1,0,30.237814,0.246672,56.4
2026/7/11 16:08,0.303824,1,0,30.228773,0.246889,56.6
2026/7/11 16:08,0.303975,1,0,30.160955,0.246889,56.8
2026/7/11 16:08,0.304016,1,0,30.233294,0.246889,57
2026/7/11 16:08,0.304177,1,0,30.179039,0.246889,57.2
2026/7/11 16:08,0.304261,1,0,30.237814,0.246889,57.4
2026/7/11 16:08,0.304474,1,0,30.237814,0.246889,57.6
2026/7/11 16:08,0.304541,1,0,30.102179,0.246889,57.8
2026/7/11 16:08,0.304709,1,0,30.237814,0.246889,58
2026/7/11 16:08,0.304729,1,0,30.237814,0.246889,58.2
2026/7/11 16:08,0.304861,1,0,30.224251,0.247179,58.4
2026/7/11 16:08,0.304844,1,0,30.237814,0.246962,58.6
2026/7/11 16:08,0.304952,0,0,30.237814,0.249204,58.8
2026/7/11 16:08,0.305154,1,0,30.169996,0.249204,59
2026/7/11 16:08,0.305335,1,0,30.160955,0.248409,59.2
2026/7/11 16:08,0.305359,1,0,30.233294,0.249349,59.4
2026/7/11 16:08,0.305406,1,0,30.102179,0.249204,59.6
2026/7/11 16:08,0.305585,1,0,30.160955,0.249349,59.8
2026/7/11 16:08,0.305733,1,0,30.233294,0.249349,60
2026/7/11 16:08,0.30576,1,0,30.120266,0.249349,60.2
2026/7/11 16:08,0.305989,1,0,30.237814,0.249349,60.4
2026/7/11 16:08,0.306103,1,0,30.21973,0.249349,60.6
2026/7/11 16:08,0.306153,1,0,30.179039,0.250579,60.8
2026/7/11 16:08,0.306254,1,0,30.237814,0.249421,61
2026/7/11 16:08,0.30643,1,0,30.237814,0.250579,61.2
2026/7/11 16:08,0.306487,1,0,30.237814,0.249494,61.4
2026/7/11 16:08,0.306621,1,0,30.237814,0.251808,61.6
2026/7/11 16:08,0.306709,1,0,30.206167,0.251664,61.8
2026/7/11 16:08,0.306935,1,0,30.102179,0.251808,62
2026/7/11 16:08,0.307036,1,0,30.237814,0.251808,62.2
2026/7/11 16:08,0.307089,1,0,30.237814,0.251808,62.4
2026/7/11 16:08,0.307137,1,0,30.120266,0.251808,62.6
2026/7/11 16:08,0.307295,1,0,30.237814,0.251808,62.8
2026/7/11 16:08,0.307483,1,0,30.201647,0.251808,63
2026/7/11 16:08,0.307517,1,0,30.120266,0.251808,63.2
2026/7/11 16:08,0.307621,1,0,30.237814,0.252025,63.4
2026/7/11 16:08,0.307817,1,0,30.237814,0.253255,63.6
2026/7/11 16:08,0.307985,1,0,30.120266,0.254268,63.8
2026/7/11 16:08,0.308113,1,0,30.237814,0.252387,64
2026/7/11 16:08,0.308143,1,0,30.233294,0.252387,64.2
2026/7/11 16:08,0.308288,1,0,30.160955,0.254268,64.4
2026/7/11 16:08,0.308483,1,0,30.237814,0.254268,64.6
2026/7/11 16:08,0.308567,1,0,30.21973,0.254268,64.8
2026/7/11 16:08,0.308618,1,0,30.237814,0.254268,65
2026/7/11 16:08,0.308789,1,0,30.237814,0.254268,65.2
2026/7/11 16:08,0.30887,1,0,30.097658,0.254268,65.4
2026/7/11 16:08,0.308938,1,0,30.160955,0.254268,65.6
2026/7/11 16:08,0.309072,1,0,30.237814,0.25434,65.8
2026/7/11 16:08,0.309369,1,1,30.21973,0.254557,66
2026/7/11 16:08,0.309473,2,1,30.102179,0.256583,66.2
2026/7/11 16:08,0.309638,1,0,30.237814,0.254557,66.4
2026/7/11 16:08,0.309655,1,0,30.206167,0.256727,66.6
2026/7/11 16:08,0.309762,1,0,30.160955,0.256727,66.8
2026/7/11 16:08,0.310052,1,1,30.237814,0.256727,67
2026/7/11 16:08,0.310163,1,1,30.233294,0.256727,67.2
2026/7/11 16:08,0.310284,2,0,30.120266,0.256727,67.4
2026/7/11 16:08,0.310321,1,0,30.237814,0.256727,67.6
2026/7/11 16:08,0.310392,1,0,30.237814,0.256727,67.8
2026/7/11 16:08,0.310537,1,0,30.120266,0.256727,68
2026/7/11 16:08,0.310729,1,0,30.237814,0.256727,68.2
2026/7/11 16:08,0.310752,1,0,30.21973,0.257306,68.4
2026/7/11 16:08,0.310897,1,0,30.102179,0.2568,68.6
2026/7/11 16:08,0.311072,1,0,30.237814,0.257306,68.8
2026/7/11 16:08,0.311234,1,0,30.224251,0.259042,69
2026/7/11 16:08,0.311247,1,0,30.237814,0.259187,69.2
2026/7/11 16:08,0.31119,1,0,30.237814,0.259187,69.4
2026/7/11 16:08,0.311362,0,0,30.106699,0.259187,69.6
2026/7/11 16:08,0.311654,1,0,30.160955,0.259187,69.8
2026/7/11 16:08,0.311681,1,1,30.233294,0.259187,70
2026/7/11 16:08,0.311893,1,0,30.224251,0.259187,70.2
2026/7/11 16:08,0.311927,1,0,30.160955,0.259187,70.4
2026/7/11 16:08,0.312092,1,0,30.237814,0.259259,70.6
2026/7/11 16:08,0.312186,1,0,30.21069,0.25991,70.8
2026/7/11 16:08,0.312318,1,0,30.160955,0.261429,71
2026/7/11 16:08,0.312409,1,0,30.237814,0.259766,71.2
2026/7/11 16:08,0.312489,1,0,30.224251,0.260561,71.4
2026/7/11 16:08,0.312557,1,0,30.237814,0.261646,71.6
2026/7/11 16:08,0.312627,0,0,30.233294,0.261646,71.8
2026/7/11 16:08,0.312725,0,0,30.21069,0.261646,72
2026/7/11 16:08,0.312907,0,0,30.237814,0.261646,72.2
2026/7/11 16:08,0.313079,1,1,30.237814,0.261646,72.4
2026/7/11 16:08,0.3132,2,1,30.102179,0.261646,72.6
2026/7/11 16:08,0.31325,2,0,30.237814,0.261646,72.8
2026/7/11 16:08,0.313425,1,0,30.228773,0.261646,73
2026/7/11 16:08,0.313486,1,0,30.228773,0.262297,73.2
2026/7/11 16:08,0.313621,1,0,30.160955,0.262297,73.4
2026/7/11 16:08,0.313789,1,0,30.237814,0.26237,73.6
2026/7/11 16:08,0.313829,1,0,30.102179,0.262225,73.8
2026/7/11 16:08,0.313913,1,0,30.237814,0.263166,74
2026/7/11 16:08,0.314072,1,0,30.233294,0.264106,74.2
2026/7/11 16:08,0.314227,1,1,30.120266,0.264106,74.4
2026/7/11 16:08,0.31426,1,0,30.237814,0.264106,74.6
2026/7/11 16:08,0.314577,1,0,30.160955,0.264106,74.8
2026/7/11 16:08,0.314624,1,1,30.084095,0.264106,75
2026/7/11 16:08,0.314748,1,0,30.088615,0.264106,75.2
2026/7/11 16:08,0.314873,1,0,30.084095,0.264106,75.4
2026/7/11 16:08,0.314964,1,0,30.025318,0.264106,75.6
2026/7/11 16:08,0.315041,1,0,30.093136,0.265625,75.8
2026/7/11 16:08,0.315287,1,1,30.084095,0.266493,76
2026/7/11 16:08,0.315297,1,1,30.084095,0.266348,76.2
2026/7/11 16:08,0.315465,1,0,30.084095,0.266638,76.4
2026/7/11 16:08,0.315523,1,0,30.160955,0.266638,76.6
2026/7/11 16:08,0.315607,1,0,30.084095,0.266421,76.8
2026/7/11 16:08,0.315829,1,0,30.084095,0.266638,77
2026/7/11 16:08,0.31595,1,0,30.124786,0.266638,77.2
2026/7/11 16:08,0.316095,1,0,30.084095,0.266638,77.4
2026/7/11 16:08,0.316125,1,0,30.084095,0.266638,77.6
2026/7/11 16:08,0.316327,1,0,30.084095,0.266638,77.8
2026/7/11 16:08,0.316422,1,0,30.084095,0.266638,78
2026/7/11 16:08,0.316516,1,0,30.084095,0.266638,78.2
2026/7/11 16:08,0.316721,1,0,30.084095,0.266638,78.4
2026/7/11 16:08,0.316765,1,0,30.084095,0.267867,78.6
2026/7/11 16:08,0.31693,1,0,30.084095,0.268157,78.8
2026/7/11 16:08,0.317011,1,0,30.084095,0.269097,79
2026/7/11 16:08,0.317152,1,0,30.084095,0.269097,79.2
2026/7/11 16:08,0.317297,1,0,30.084095,0.269097,79.4
2026/7/11 16:08,0.317378,1,0,30.084095,0.269097,79.6
2026/7/11 16:08,0.317418,1,0,30.084095,0.269097,79.8
2026/7/11 16:08,0.317607,1,0,30.102179,0.269097,80
2026/7/11 16:08,0.317704,1,0,30.084095,0.269097,80.2
2026/7/11 16:08,0.317849,1,0,30.084095,0.269097,80.4
2026/7/11 16:08,0.317866,1,0,30.084095,0.269097,80.6
2026/7/11 16:08,0.318058,1,0,30.084095,0.269097,80.8
2026/7/11 16:08,0.318266,1,0,30.084095,0.269459,81
2026/7/11 16:08,0.318354,1,1,30.084095,0.27134,81.2
2026/7/11 16:08,0.318435,2,0,30.084095,0.269821,81.4
2026/7/11 16:08,0.318516,1,0,30.084095,0.270616,81.6
2026/7/11 16:08,0.31862,1,0,30.102179,0.270472,81.8
2026/7/11 16:08,0.318808,1,0,30.084095,0.271557,82
2026/7/11 16:08,0.318896,1,1,30.084095,0.271557,82.2
2026/7/11 16:08,0.318946,1,0,30.088615,0.271557,82.4
2026/7/11 16:08,0.319105,1,0,30.160955,0.271557,82.6
