 ±º‰ (s),P1 (MPa),M1 (L/min),T (°„C)
64.0,0.435006,0.019532,24.56
64.5,0.435220,0.019551,24.56
65.0,0.435435,0.019570,24.57
65.5,0.435649,0.019589,24.57
66.0,0.435864,0.019608,24.57
66.5,0.436078,0.019627,24.57
67.0,0.436293,0.019646,24.57
67.5,0.436508,0.019665,24.57
68.0,0.436722,0.019684,24.57
68.5,0.436936,0.019703,24.57
69.0,0.437151,0.019722,24.57
69.5,0.437365,0.019741,24.57
70.0,0.437580,0.019760,24.57
70.5,0.437794,0.019779,24.57
71.0,0.438009,0.019798,24.57
71.5,0.438223,0.019817,24.57
72.0,0.438438,0.019836,24.57
72.5,0.438653,0.019855,24.57
73.0,0.438867,0.019874,24.57
73.5,0.439081,0.019893,24.57
74.0,0.439296,0.019912,24.57
74.5,0.439510,0.019931,24.57
75.0,0.439725,0.019950,24.57
75.5,0.439940,0.019969,24.58
76.0,0.440154,0.019988,24.58
76.5,0.440368,0.020007,24.58
77.0,0.440583,0.020026,24.58
77.5,0.440797,0.020045,24.58
78.0,0.441012,0.020064,24.58
78.5,0.441226,0.020083,24.58
79.0,0.441441,0.020102,24.58
79.5,0.441656,0.020121,24.58
80.0,0.441870,0.020140,24.58
80.5,0.442084,0.020159,24.58
81.0,0.442299,0.020178,24.58
81.5,0.442513,0.020197,24.58
82.0,0.442728,0.020216,24.58
82.5,0.442942,0.020235,24.58
83.0,0.443157,0.020254,24.58
83.5,0.443371,0.020273,24.58
84.0,0.443586,0.020292,24.58
84.5,0.443800,0.020311,24.58
85.0,0.444015,0.020330,24.59
85.5,0.444229,0.020349,24.59
86.0,0.444444,0.020368,24.59
86.5,0.444658,0.020387,24.59
87.0,0.444873,0.020406,24.59
87.5,0.445087,0.020425,24.59
88.0,0.445302,0.020444,24.59
88.5,0.445516,0.020463,24.59
89.0,0.445731,0.020482,24.59
89.5,0.445945,0.020501,24.59
90.0,0.446160,0.020520,24.59
90.5,0.446375,0.020539,24.59
91.0,0.446589,0.020558,24.59
91.5,0.446803,0.020577,24.59
92.0,0.447018,0.020596,24.59
92.5,0.447232,0.020615,24.59
93.0,0.447447,0.020634,24.59
93.5,0.447661,0.020653,24.59
94.0,0.447876,0.020672,24.59
94.5,0.448091,0.020691,24.59
95.0,0.448305,0.020710,24.59
95.5,0.448519,0.020729,24.60
96.0,0.448734,0.020748,24.60
96.5,0.448948,0.020767,24.60
97.0,0.449163,0.020786,24.60
97.5,0.449377,0.020805,24.60
98.0,0.449592,0.020824,24.60
98.5,0.449806,0.020843,24.60
99.0,0.450021,0.020862,24.60
99.5,0.450235,0.020881,24.60
